id,title,abstract,label
36653801,The role of autophagy in viral infections,"Autophagy is an evolutionarily conserved catabolic cellular process that exerts antiviral functions during a viral invasion. However, co-evolution and co-adaptation between viruses and autophagy have armed viruses with multiple strategies to subvert the autophagic machinery and counteract cellular antiviral responses. Specifically, the host cell quickly initiates the autophagy to degrade virus particles or virus components upon a viral infection, while cooperating with anti-viral interferon response to inhibit the virus replication. Degraded virus-derived antigens can be presented to T lymphocytes to orchestrate the adaptive immune response. Nevertheless, some viruses have evolved the ability to inhibit autophagy in order to evade degradation and immune responses. Others induce autophagy, but then hijack autophagosomes as a replication site, or hijack the secretion autophagy pathway to promote maturation and egress of virus particles, thereby increasing replication and transmission efficiency. Interestingly, different viruses have unique strategies to counteract different types of selective autophagy, such as exploiting autophagy to regulate organelle degradation, metabolic processes, and immune responses. In short, this review focuses on the interaction between autophagy and viruses, explaining how autophagy serves multiple roles in viral infection, with either proviral or antiviral functions.",positive,,,,
27392606,Mechanisms of viral mutation,"The remarkable capacity of some viruses to adapt to new hosts and environments is highly dependent on their ability to generate de novo diversity in a short period of time. Rates of spontaneous mutation vary amply among viruses. RNA viruses mutate faster than DNA viruses, single-stranded viruses mutate faster than double-strand virus, and genome size appears to correlate negatively with mutation rate. Viral mutation rates are modulated at different levels, including polymerase fidelity, sequence context, template secondary structure, cellular microenvironment, replication mechanisms, proofreading, and access to post-replicative repair. Additionally, massive numbers of mutations can be introduced by some virus-encoded diversity-generating elements, as well as by host-encoded cytidine/adenine deaminases. Our current knowledge of viral mutation rates indicates that viral genetic diversity is determined by multiple virus- and host-dependent processes, and that viral mutation rates can evolve in response to specific selective pressures.",positive,,,,
36920689,Pseudotyped Viruses,"Pseudotyped viruses have been constructed for many viruses. They can mimic the authentic virus and have many advantages compared to authentic viruses. Thus, they have been widely used as a surrogate of authentic virus for viral function analysis, detection of neutralizing antibodies, screening viral entry inhibitors, and others. This chapter reviewed the progress in the field of pseudotyped viruses in general, including the definition and the advantages of pseudotyped viruses, their potential usage, different strategies or vectors used for the construction of pseudotyped viruses, and factors that affect the construction of pseudotyped viruses.",positive,,,,
36008955,Viral Complexity,"Although traditionally viewed as streamlined and simple, discoveries over the last century have revealed that viruses can exhibit surprisingly complex physical structures, genomic organization, ecological interactions, and evolutionary histories. Viruses can have physical dimensions and genome lengths that exceed many cellular lineages, and their infection strategies can involve a remarkable level of physiological remodeling of their host cells. Virus-virus communication and widespread forms of hyperparasitism have been shown to be common in the virosphere, demonstrating that dynamic ecological interactions often shape their success. And the evolutionary histories of viruses are often fraught with complexities, with chimeric genomes including genes derived from numerous distinct sources or evolved de novo. Here we will discuss many aspects of this viral complexity, with particular emphasis on large DNA viruses, and provide an outlook for future research.",positive,,,,
35412139,Broad-spectrum Respiratory Virus Entry Inhibitors,"With the increasing global human population, travel, and socioeconomic activities, more and more novel pathogenic viruses will emerge or re-emerge. While more than 260 viruses are known to infect humans, only a small minority of these viral diseases are treatable by clinically approved antiviral drugs. Apart from these identified viruses, new emerging viruses and drug-resistant viruses are also important challenges to our public health and healthcare systems. The COVID-19 and influenza pandemics remind us the importance of getting broad-spectrum antivirals against emerging and re-emerging respiratory viruses. Broad-spectrum antivirals against different viral families for fighting the currently known viruses and novel emerging viruses are urgently needed. Viral entry is the universal first step for viral infection, and therefore is a promising target for identifying broad-spectrum antivirals. In this chapter, we mainly focus on discussing the risks of respiratory viruses, the challenge of finding broad-spectrum antivirals, the entry processes of respiratory viruses, the current studies on broad-spectrum entry inhibitors for respiratory viruses, and the directions for discovering broad-spectrum antivirals in the future.",positive,,,,
27177731,Respiratory viruses and children ,"Respiratory viruses place a great disease burden especially on the youngest children in terms of high rates of infection, bacterial complications and hospitalizations. In developing countries, some viral infections are even associated with substantial mortality in children. The interaction between viruses and bacteria is probably much more common and clinically significant than previously understood. Respiratory viruses frequently initiate the cascade of events that ultimately leads to bacterial infection. Effective antiviral agents can substantially shorten the duration of the viral illness and prevent the development of bacterial complications. Viral vaccines have the potential to not only prevent the viral infection but also decrease the incidence of bacterial complications. At present, antivirals and vaccines are only available against influenza viruses, but new vaccines and antivirals against other viruses, especially for RSV, are being developed.",positive,,,,
38140656,Viral-Bacterial Interactions That Impact Viral Thermostability and Transmission ,"Enteric viruses are significant human pathogens that commonly cause foodborne illnesses worldwide. These viruses initiate infection in the gastrointestinal tract, home to a diverse population of intestinal bacteria. In a novel paradigm, data indicate that enteric viruses utilize intestinal bacteria to promote viral replication and pathogenesis. While mechanisms underlying these observations are not fully understood, data suggest that some enteric viruses bind directly to bacteria, stabilizing the virion to retain infectivity. Here, we discuss the current knowledge of these viral-bacterial interactions and examine the impact of these interactions on viral transmission.",positive,,,,
16297742,Viral arthritis,"The role of viruses in the development of acute and chronic arthritis is complex, because viruses are ubiquitous, and all human beings are occasionally afflicted by viral infections. In general, most viral infections are acute and self-limiting and survive by infecting one susceptible host, then moving on to another. Some viruses establish prolonged latency in the host after acute infection, whereas other agents produce chronic infections following the primary stage. The mechanisms whereby these infections produce arthritis are diverse and still poorly understood, but are clearly influenced by both host and viral factors. This review addresses these and other common forms of viral arthritis, such as that caused by parvovirus B19",positive,,,,
27533034,Uncovering Earth's virome,"Viruses are the most abundant biological entities on Earth, but challenges in detecting, isolating, and classifying unknown viruses have prevented exhaustive surveys of the global virome. Here we analysed over 5 Tb of metagenomic sequence data from 3,042 geographically diverse samples to assess the global distribution, phylogenetic diversity, and host specificity of viruses. We discovered over 125,000 partial DNA viral genomes, including the largest phage yet identified, and increased the number of known viral genes by 16-fold. Half of the predicted partial viral genomes were clustered into genetically distinct groups, most of which included genes unrelated to those in known viruses. Using CRISPR spacers and transfer RNA matches to link viral groups to microbial host(s), we doubled the number of microbial phyla known to be infected by viruses, and identified viruses that can infect organisms from different phyla. Analysis of viral distribution across diverse ecosystems revealed strong habitat-type specificity for the vast majority of viruses, but also identified some cosmopolitan groups. Our results highlight an extensive global viral diversity and provide detailed insight into viral habitat distribution and host virus interactions.",positive,,,,
34465172,Illuminating the Virosphere Through Global Metagenomics,"Viruses are the most abundant biological entity on Earth, infect cellular organisms from all domains of life, and are central players in the global biosphere. Over the last century, the discovery and characterization of viruses have progressed steadily alongside much of modern biology. In terms of outright numbers of novel viruses discovered, however, the last few years have been by far the most transformative for the field. Advances in methods for identifying viral sequences in genomic and metagenomic datasets, coupled to the exponential growth of environmental sequencing, have greatly expanded the catalog of known viruses and fueled the tremendous growth of viral sequence databases. Development and implementation of new standards, along with careful study of the newly discovered viruses, have transformed and will continue to transform our understanding of microbial evolution, ecology, and biogeochemical cycles, leading to new biotechnological innovations across many diverse fields, including environmental, agricultural, and biomedical sciences.",positive,,,,
